 RANCH version 2.1 - r(9684)
 Started: ............................................... : Wed Oct 11 13:48:38 2017
 iSeed .................................................. : 1387296217
 Chain type ............................................. : Random
 Sequence file name: .................................... : fcp1.seq
 Symmetry: .............................................. : p1
 Symmetry type: ......................................... : aSymmetric
 Number of residues per chain: .......................... : 84
 Number of atoms: ....................................... : 84
 Number of domains: ..................................... : 0
 Contact file name: ..................................... : None
 Number of structures: .................................. : 10000
 Suffix of the pdb files: ............................... : eom
 Output Folder Path: .................................... : ./
 Number of experimental curves: ......................... : 0
 Structure number         Seed       Type(0=aSymm,1=Symm,2=noSymm)
     290               1387296506     2
     291               1387296507     2
     292               1387296508     2
     293               1387296509     2
     294               1387296510     2
     295               1387296511     2
     296               1387296512     2
     297               1387296513     2
     298               1387296514     2
     299               1387296515     2
     300               1387296516     2
     301               1387296517     2
     302               1387296518     2
     303               1387296519     2
     304               1387296520     2
     305               1387296521     2
     306               1387296522     2
     307               1387296523     2
     308               1387296524     2
     309               1387296525     2
     310               1387296526     2
     311               1387296527     2
     312               1387296528     2
     313               1387296529     2
     314               1387296530     2
     315               1387296531     2
     316               1387296532     2
     317               1387296533     2
     318               1387296534     2
     319               1387296535     2
     320               1387296536     2
     321               1387296537     2
     322               1387296538     2
     323               1387296539     2
     324               1387296540     2
     325               1387296541     2
     326               1387296542     2
     327               1387296543     2
     328               1387296544     2
     329               1387296545     2
     330               1387296546     2
     331               1387296547     2
     332               1387296548     2
     333               1387296549     2
     334               1387296550     2
     335               1387296551     2
     336               1387296552     2
     337               1387296553     2
     338               1387296554     2
     339               1387296555     2
     340               1387296556     2
     341               1387296557     2
     342               1387296558     2
     343               1387296559     2
     344               1387296560     2
     345               1387296561     2
     346               1387296562     2
     347               1387296563     2
     348               1387296564     2
     349               1387296565     2
     350               1387296566     2
     351               1387296567     2
     352               1387296568     2
     353               1387296569     2
     354               1387296570     2
     355               1387296571     2
     356               1387296572     2
     357               1387296573     2
     358               1387296574     2
     359               1387296575     2
     360               1387296576     2
     361               1387296577     2
     362               1387296578     2
     363               1387296579     2
     364               1387296580     2
     365               1387296581     2
     366               1387296582     2
     367               1387296583     2
     368               1387296584     2
     369               1387296585     2
     370               1387296586     2
     371               1387296587     2
     372               1387296588     2
     373               1387296589     2
     374               1387296590     2
     375               1387296591     2
     376               1387296592     2
     377               1387296593     2
     378               1387296594     2
     379               1387296595     2
     380               1387296596     2
     381               1387296597     2
     382               1387296598     2
     383               1387296599     2
     384               1387296600     2
     385               1387296601     2
     386               1387296602     2
     387               1387296603     2
     388               1387296604     2
     389               1387296605     2
     390               1387296606     2
     391               1387296607     2
     392               1387296608     2
     393               1387296609     2
     394               1387296610     2
     395               1387296611     2
     396               1387296612     2
     397               1387296613     2
     398               1387296614     2
     399               1387296615     2
     400               1387296616     2
     401               1387296617     2
     402               1387296618     2
     403               1387296619     2
     404               1387296620     2
     405               1387296621     2
     406               1387296622     2
     407               1387296623     2
     408               1387296624     2
     409               1387296625     2
     410               1387296626     2
     411               1387296627     2
     412               1387296628     2
     413               1387296629     2
     414               1387296630     2
     415               1387296631     2
     416               1387296632     2
     417               1387296633     2
     418               1387296634     2
     419               1387296635     2
     420               1387296636     2
     421               1387296637     2
     422               1387296638     2
     423               1387296639     2
     424               1387296640     2
     425               1387296641     2
     426               1387296642     2
     427               1387296643     2
     428               1387296644     2
     429               1387296645     2
     430               1387296646     2
     431               1387296647     2
     432               1387296648     2
     433               1387296649     2
     434               1387296650     2
     435               1387296651     2
     436               1387296652     2
     437               1387296653     2
     438               1387296654     2
     439               1387296655     2
     440               1387296656     2
     441               1387296657     2
     442               1387296658     2
     443               1387296659     2
     444               1387296660     2
     445               1387296661     2
     446               1387296662     2
     447               1387296663     2
     448               1387296664     2
     449               1387296665     2
     450               1387296666     2
     451               1387296667     2
     452               1387296668     2
     453               1387296669     2
     454               1387296670     2
     455               1387296671     2
     456               1387296672     2
     457               1387296673     2
     458               1387296674     2
     459               1387296675     2
     460               1387296676     2
     461               1387296677     2
     462               1387296678     2
     463               1387296679     2
     464               1387296680     2
     465               1387296681     2
     466               1387296682     2
     467               1387296683     2
     468               1387296684     2
     469               1387296685     2
     470               1387296686     2
     471               1387296687     2
     472               1387296688     2
     473               1387296689     2
     474               1387296690     2
     475               1387296691     2
     476               1387296692     2
     477               1387296693     2
     478               1387296694     2
     479               1387296695     2
     480               1387296696     2
     481               1387296697     2
     482               1387296698     2
     483               1387296699     2
     484               1387296700     2
     485               1387296701     2
     486               1387296702     2
     487               1387296703     2
     488               1387296704     2
     489               1387296705     2
     490               1387296706     2
     491               1387296707     2
     492               1387296708     2
     493               1387296709     2
     494               1387296710     2
     495               1387296711     2
     496               1387296712     2
     497               1387296713     2
     498               1387296714     2
     499               1387296715     2
     500               1387296716     2
     501               1387296717     2
     502               1387296718     2
     503               1387296719     2
     504               1387296720     2
     505               1387296721     2
     506               1387296722     2
     507               1387296723     2
     508               1387296724     2
     509               1387296725     2
     510               1387296726     2
     511               1387296727     2
     512               1387296728     2
     513               1387296729     2
     514               1387296730     2
     515               1387296731     2
     516               1387296732     2
     517               1387296733     2
     518               1387296734     2
     519               1387296735     2
     520               1387296736     2
     521               1387296737     2
     522               1387296738     2
     523               1387296739     2
     524               1387296740     2
     525               1387296741     2
     526               1387296742     2
     527               1387296743     2
     528               1387296744     2
     529               1387296745     2
     530               1387296746     2
     531               1387296747     2
     532               1387296748     2
     533               1387296749     2
     534               1387296750     2
     535               1387296751     2
     536               1387296752     2
     537               1387296753     2
     538               1387296754     2
     539               1387296755     2
     540               1387296756     2
     541               1387296757     2
     542               1387296758     2
     543               1387296759     2
     544               1387296760     2
     545               1387296761     2
     546               1387296762     2
     547               1387296763     2
     548               1387296764     2
     549               1387296765     2
     550               1387296766     2
     551               1387296767     2
     552               1387296768     2
     553               1387296769     2
     554               1387296770     2
     555               1387296771     2
     556               1387296772     2
     557               1387296773     2
     558               1387296774     2
     559               1387296775     2
     560               1387296776     2
     561               1387296777     2
     562               1387296778     2
     563               1387296779     2
     564               1387296780     2
     565               1387296781     2
     566               1387296782     2
     567               1387296783     2
     568               1387296784     2
     569               1387296785     2
     570               1387296786     2
     571               1387296787     2
     572               1387296788     2
     573               1387296789     2
     574               1387296790     2
     575               1387296791     2
     576               1387296792     2
     577               1387296793     2
     578               1387296794     2
     579               1387296795     2
     580               1387296796     2
     581               1387296797     2
     582               1387296798     2
     583               1387296799     2
     584               1387296800     2
     585               1387296801     2
     586               1387296802     2
     587               1387296803     2
     588               1387296804     2
     589               1387296805     2
     590               1387296806     2
     591               1387296807     2
     592               1387296808     2
     593               1387296809     2
     594               1387296810     2
     595               1387296811     2
     596               1387296812     2
     597               1387296813     2
     598               1387296814     2
     599               1387296815     2
     600               1387296816     2
     601               1387296817     2
     602               1387296818     2
     603               1387296819     2
     604               1387296820     2
     605               1387296821     2
     606               1387296822     2
     607               1387296823     2
     608               1387296824     2
     609               1387296825     2
     610               1387296826     2
     611               1387296827     2
     612               1387296828     2
     613               1387296829     2
     614               1387296830     2
     615               1387296831     2
     616               1387296832     2
     617               1387296833     2
     618               1387296834     2
     619               1387296835     2
     620               1387296836     2
     621               1387296837     2
     622               1387296838     2
     623               1387296839     2
     624               1387296840     2
     625               1387296841     2
     626               1387296842     2
     627               1387296843     2
     628               1387296844     2
     629               1387296845     2
     630               1387296846     2
     631               1387296847     2
     632               1387296848     2
     633               1387296849     2
     634               1387296850     2
     635               1387296851     2
     636               1387296852     2
     637               1387296853     2
     638               1387296854     2
     639               1387296855     2
     640               1387296856     2
     641               1387296857     2
     642               1387296858     2
     643               1387296859     2
     644               1387296860     2
     645               1387296861     2
     646               1387296862     2
     647               1387296863     2
     648               1387296864     2
     649               1387296865     2
     650               1387296866     2
     651               1387296867     2
     652               1387296868     2
     653               1387296869     2
     654               1387296870     2
     655               1387296871     2
     656               1387296872     2
     657               1387296873     2
     658               1387296874     2
     659               1387296875     2
     660               1387296876     2
     661               1387296877     2
     662               1387296878     2
     663               1387296879     2
     664               1387296880     2
     665               1387296881     2
     666               1387296882     2
     667               1387296883     2
     668               1387296884     2
     669               1387296885     2
     670               1387296886     2
     671               1387296887     2
     672               1387296888     2
     673               1387296889     2
     674               1387296890     2
     675               1387296891     2
     676               1387296892     2
     677               1387296893     2
     678               1387296894     2
     679               1387296895     2
     680               1387296896     2
     681               1387296897     2
     682               1387296898     2
     683               1387296899     2
     684               1387296900     2
     685               1387296901     2
     686               1387296902     2
     687               1387296903     2
     688               1387296904     2
     689               1387296905     2
     690               1387296906     2
     691               1387296907     2
     692               1387296908     2
     693               1387296909     2
     694               1387296910     2
     695               1387296911     2
     696               1387296912     2
     697               1387296913     2
     698               1387296914     2
     699               1387296915     2
     700               1387296916     2
     701               1387296917     2
     702               1387296918     2
     703               1387296919     2
     704               1387296920     2
     705               1387296921     2
     706               1387296922     2
     707               1387296923     2
     708               1387296924     2
     709               1387296925     2
     710               1387296926     2
     711               1387296927     2
     712               1387296928     2
     713               1387296929     2
     714               1387296930     2
     715               1387296931     2
     716               1387296932     2
     717               1387296933     2
     718               1387296934     2
     719               1387296935     2
     720               1387296936     2
     721               1387296937     2
     722               1387296938     2
     723               1387296939     2
     724               1387296940     2
     725               1387296941     2
     726               1387296942     2
     727               1387296943     2
     728               1387296944     2
     729               1387296945     2
     730               1387296946     2
     731               1387296947     2
     732               1387296948     2
     733               1387296949     2
     734               1387296950     2
     735               1387296951     2
     736               1387296952     2
     737               1387296953     2
     738               1387296954     2
     739               1387296955     2
     740               1387296956     2
     741               1387296957     2
     742               1387296958     2
     743               1387296959     2
     744               1387296960     2
     745               1387296961     2
     746               1387296962     2
     747               1387296963     2
     748               1387296964     2
     749               1387296965     2
     750               1387296966     2
     751               1387296967     2
     752               1387296968     2
     753               1387296969     2
     754               1387296970     2
     755               1387296971     2
     756               1387296972     2
     757               1387296973     2
     758               1387296974     2
     759               1387296975     2
     760               1387296976     2
     761               1387296977     2
     762               1387296978     2
     763               1387296979     2
     764               1387296980     2
     765               1387296981     2
     766               1387296982     2
     767               1387296983     2
     768               1387296984     2
     769               1387296985     2
     770               1387296986     2
     771               1387296987     2
     772               1387296988     2
     773               1387296989     2
     774               1387296990     2
     775               1387296991     2
     776               1387296992     2
     777               1387296993     2
     778               1387296994     2
     779               1387296995     2
     780               1387296996     2
     781               1387296997     2
     782               1387296998     2
     783               1387296999     2
     784               1387297000     2
     785               1387297001     2
     786               1387297002     2
     787               1387297003     2
     788               1387297004     2
     789               1387297005     2
     790               1387297006     2
     791               1387297007     2
     792               1387297008     2
     793               1387297009     2
     794               1387297010     2
     795               1387297011     2
     796               1387297012     2
     797               1387297013     2
     798               1387297014     2
     799               1387297015     2
     800               1387297016     2
     801               1387297017     2
     802               1387297018     2
     803               1387297019     2
     804               1387297020     2
     805               1387297021     2
     806               1387297022     2
     807               1387297023     2
     808               1387297024     2
     809               1387297025     2
     810               1387297026     2
     811               1387297027     2
     812               1387297028     2
     813               1387297029     2
     814               1387297030     2
     815               1387297031     2
     816               1387297032     2
     817               1387297033     2
     818               1387297034     2
     819               1387297035     2
     820               1387297036     2
     821               1387297037     2
     822               1387297038     2
     823               1387297039     2
     824               1387297040     2
     825               1387297041     2
     826               1387297042     2
     827               1387297043     2
     828               1387297044     2
     829               1387297045     2
     830               1387297046     2
     831               1387297047     2
     832               1387297048     2
     833               1387297049     2
     834               1387297050     2
     835               1387297051     2
     836               1387297052     2
     837               1387297053     2
     838               1387297054     2
     839               1387297055     2
     840               1387297056     2
     841               1387297057     2
     842               1387297058     2
     843               1387297059     2
     844               1387297060     2
     845               1387297061     2
     846               1387297062     2
     847               1387297063     2
     848               1387297064     2
     849               1387297065     2
     850               1387297066     2
     851               1387297067     2
     852               1387297068     2
     853               1387297069     2
     854               1387297070     2
     855               1387297071     2
     856               1387297072     2
     857               1387297073     2
     858               1387297074     2
     859               1387297075     2
     860               1387297076     2
     861               1387297077     2
     862               1387297078     2
     863               1387297079     2
     864               1387297080     2
     865               1387297081     2
     866               1387297082     2
     867               1387297083     2
     868               1387297084     2
     869               1387297085     2
     870               1387297086     2
     871               1387297087     2
     872               1387297088     2
     873               1387297089     2
     874               1387297090     2
     875               1387297091     2
     876               1387297092     2
     877               1387297093     2
     878               1387297094     2
     879               1387297095     2
     880               1387297096     2
     881               1387297097     2
     882               1387297098     2
     883               1387297099     2
     884               1387297100     2
     885               1387297101     2
     886               1387297102     2
     887               1387297103     2
     888               1387297104     2
     889               1387297105     2
     890               1387297106     2
     891               1387297107     2
     892               1387297108     2
     893               1387297109     2
     894               1387297110     2
     895               1387297111     2
     896               1387297112     2
     897               1387297113     2
     898               1387297114     2
     899               1387297115     2
     900               1387297116     2
     901               1387297117     2
     902               1387297118     2
     903               1387297119     2
     904               1387297120     2
     905               1387297121     2
     906               1387297122     2
     907               1387297123     2
     908               1387297124     2
     909               1387297125     2
     910               1387297126     2
     911               1387297127     2
     912               1387297128     2
     913               1387297129     2
     914               1387297130     2
     915               1387297131     2
     916               1387297132     2
     917               1387297133     2
     918               1387297134     2
     919               1387297135     2
     920               1387297136     2
     921               1387297137     2
     922               1387297138     2
     923               1387297139     2
     924               1387297140     2
     925               1387297141     2
     926               1387297142     2
     927               1387297143     2
     928               1387297144     2
     929               1387297145     2
     930               1387297146     2
     931               1387297147     2
     932               1387297148     2
     933               1387297149     2
     934               1387297150     2
     935               1387297151     2
     936               1387297152     2
     937               1387297153     2
     938               1387297154     2
     939               1387297155     2
     940               1387297156     2
     941               1387297157     2
     942               1387297158     2
     943               1387297159     2
     944               1387297160     2
     945               1387297161     2
     946               1387297162     2
     947               1387297163     2
     948               1387297164     2
     949               1387297165     2
     950               1387297166     2
     951               1387297167     2
     952               1387297168     2
     953               1387297169     2
     954               1387297170     2
     955               1387297171     2
     956               1387297172     2
     957               1387297173     2
     958               1387297174     2
     959               1387297175     2
     960               1387297176     2
     961               1387297177     2
     962               1387297178     2
     963               1387297179     2
     964               1387297180     2
     965               1387297181     2
     966               1387297182     2
     967               1387297183     2
     968               1387297184     2
     969               1387297185     2
     970               1387297186     2
     971               1387297187     2
     972               1387297188     2
     973               1387297189     2
     974               1387297190     2
     975               1387297191     2
     976               1387297192     2
     977               1387297193     2
     978               1387297194     2
     979               1387297195     2
     980               1387297196     2
     981               1387297197     2
     982               1387297198     2
     983               1387297199     2
     984               1387297200     2
     985               1387297201     2
     986               1387297202     2
     987               1387297203     2
     988               1387297204     2
     989               1387297205     2
     990               1387297206     2
     991               1387297207     2
     992               1387297208     2
     993               1387297209     2
     994               1387297210     2
     995               1387297211     2
     996               1387297212     2
     997               1387297213     2
     998               1387297214     2
     999               1387297215     2
    1000               1387297216     2
    1001               1387297217     2
    1002               1387297218     2
    1003               1387297219     2
    1004               1387297220     2
    1005               1387297221     2
    1006               1387297222     2
    1007               1387297223     2
    1008               1387297224     2
    1009               1387297225     2
    1010               1387297226     2
    1011               1387297227     2
    1012               1387297228     2
    1013               1387297229     2
    1014               1387297230     2
    1015               1387297231     2
    1016               1387297232     2
    1017               1387297233     2
    1018               1387297234     2
    1019               1387297235     2
    1020               1387297236     2
    1021               1387297237     2
    1022               1387297238     2
    1023               1387297239     2
    1024               1387297240     2
    1025               1387297241     2
    1026               1387297242     2
    1027               1387297243     2
    1028               1387297244     2
    1029               1387297245     2
    1030               1387297246     2
    1031               1387297247     2
    1032               1387297248     2
    1033               1387297249     2
    1034               1387297250     2
    1035               1387297251     2
    1036               1387297252     2
    1037               1387297253     2
    1038               1387297254     2
    1039               1387297255     2
    1040               1387297256     2
    1041               1387297257     2
    1042               1387297258     2
    1043               1387297259     2
    1044               1387297260     2
    1045               1387297261     2
    1046               1387297262     2
    1047               1387297263     2
    1048               1387297264     2
    1049               1387297265     2
    1050               1387297266     2
    1051               1387297267     2
    1052               1387297268     2
    1053               1387297269     2
    1054               1387297270     2
    1055               1387297271     2
    1056               1387297272     2
    1057               1387297273     2
    1058               1387297274     2
    1059               1387297275     2
    1060               1387297276     2
    1061               1387297277     2
    1062               1387297278     2
    1063               1387297279     2
    1064               1387297280     2
    1065               1387297281     2
    1066               1387297282     2
    1067               1387297283     2
    1068               1387297284     2
    1069               1387297285     2
    1070               1387297286     2
    1071               1387297287     2
    1072               1387297288     2
    1073               1387297289     2
    1074               1387297290     2
    1075               1387297291     2
    1076               1387297292     2
    1077               1387297293     2
    1078               1387297294     2
    1079               1387297295     2
    1080               1387297296     2
    1081               1387297297     2
    1082               1387297298     2
    1083               1387297299     2
    1084               1387297300     2
    1085               1387297301     2
    1086               1387297302     2
    1087               1387297303     2
    1088               1387297304     2
    1089               1387297305     2
    1090               1387297306     2
    1091               1387297307     2
    1092               1387297308     2
    1093               1387297309     2
    1094               1387297310     2
    1095               1387297311     2
    1096               1387297312     2
    1097               1387297313     2
    1098               1387297314     2
    1099               1387297315     2
    1100               1387297316     2
    1101               1387297317     2
    1102               1387297318     2
    1103               1387297319     2
    1104               1387297320     2
    1105               1387297321     2
    1106               1387297322     2
    1107               1387297323     2
    1108               1387297324     2
    1109               1387297325     2
    1110               1387297326     2
    1111               1387297327     2
    1112               1387297328     2
    1113               1387297329     2
    1114               1387297330     2
    1115               1387297331     2
    1116               1387297332     2
    1117               1387297333     2
    1118               1387297334     2
    1119               1387297335     2
    1120               1387297336     2
    1121               1387297337     2
    1122               1387297338     2
    1123               1387297339     2
    1124               1387297340     2
