 RANCH version 2.1 - r(10584)
 Started: ............................................... : Tue Nov  6 20:50:12 2018
 iSeed .................................................. : 1320722728
 Chain type ............................................. : Random
 Sequence file name: .................................... : ctfcp1_w_a927c.fasta
 Symmetry: .............................................. : p1
 Symmetry type: ......................................... : aSymmetric
 Number of residues per chain: .......................... : 87
 Number of atoms: ....................................... : 87
 Number of domains: ..................................... : 0
 Contact file name: ..................................... : None
 Number of structures: .................................. : 10000
 Suffix of the pdb files: ............................... : eom
 Output Folder Path: .................................... : ./Desktop/g891c/
 Number of experimental curves: ......................... : 0
 Structure number         Seed       Type(0=aSymm,1=Symm,2=noSymm)
     288               1320723015     2
     289               1320723016     2
     290               1320723017     2
     291               1320723018     2
     292               1320723019     2
     293               1320723020     2
     294               1320723021     2
     295               1320723022     2
     296               1320723023     2
     297               1320723024     2
     298               1320723025     2
     299               1320723026     2
     300               1320723027     2
     301               1320723028     2
     302               1320723029     2
     303               1320723030     2
     304               1320723031     2
     305               1320723032     2
     306               1320723033     2
     307               1320723034     2
     308               1320723035     2
     309               1320723036     2
     310               1320723037     2
     311               1320723038     2
     312               1320723039     2
     313               1320723040     2
     314               1320723041     2
     315               1320723042     2
     316               1320723043     2
     317               1320723044     2
     318               1320723045     2
     319               1320723046     2
     320               1320723047     2
     321               1320723048     2
     322               1320723049     2
     323               1320723050     2
     324               1320723051     2
     325               1320723052     2
     326               1320723053     2
     327               1320723054     2
     328               1320723055     2
     329               1320723056     2
     330               1320723057     2
     331               1320723058     2
     332               1320723059     2
     333               1320723060     2
     334               1320723061     2
     335               1320723062     2
     336               1320723063     2
     337               1320723064     2
     338               1320723065     2
     339               1320723066     2
     340               1320723067     2
     341               1320723068     2
     342               1320723069     2
     343               1320723070     2
     344               1320723071     2
     345               1320723072     2
     346               1320723073     2
     347               1320723074     2
     348               1320723075     2
     349               1320723076     2
     350               1320723077     2
     351               1320723078     2
     352               1320723079     2
     353               1320723080     2
     354               1320723081     2
     355               1320723082     2
     356               1320723083     2
     357               1320723084     2
     358               1320723085     2
     359               1320723086     2
     360               1320723087     2
     361               1320723088     2
     362               1320723089     2
     363               1320723090     2
     364               1320723091     2
     365               1320723092     2
     366               1320723093     2
     367               1320723094     2
     368               1320723095     2
     369               1320723096     2
     370               1320723097     2
     371               1320723098     2
     372               1320723099     2
     373               1320723100     2
     374               1320723101     2
     375               1320723102     2
     376               1320723103     2
     377               1320723104     2
     378               1320723105     2
     379               1320723106     2
     380               1320723107     2
     381               1320723108     2
     382               1320723109     2
     383               1320723110     2
     384               1320723111     2
     385               1320723112     2
     386               1320723113     2
     387               1320723114     2
     388               1320723115     2
     389               1320723116     2
     390               1320723117     2
     391               1320723118     2
     392               1320723119     2
     393               1320723120     2
     394               1320723121     2
     395               1320723122     2
     396               1320723123     2
     397               1320723124     2
     398               1320723125     2
     399               1320723126     2
     400               1320723127     2
     401               1320723128     2
     402               1320723129     2
     403               1320723130     2
     404               1320723131     2
     405               1320723132     2
     406               1320723133     2
     407               1320723134     2
     408               1320723135     2
     409               1320723136     2
     410               1320723137     2
     411               1320723138     2
     412               1320723139     2
     413               1320723140     2
     414               1320723141     2
     415               1320723142     2
     416               1320723143     2
     417               1320723144     2
     418               1320723145     2
     419               1320723146     2
     420               1320723147     2
     421               1320723148     2
     422               1320723149     2
     423               1320723150     2
     424               1320723151     2
     425               1320723152     2
     426               1320723153     2
     427               1320723154     2
     428               1320723155     2
     429               1320723156     2
     430               1320723157     2
     431               1320723158     2
     432               1320723159     2
     433               1320723160     2
     434               1320723161     2
     435               1320723162     2
     436               1320723163     2
     437               1320723164     2
     438               1320723165     2
     439               1320723166     2
     440               1320723167     2
     441               1320723168     2
     442               1320723169     2
     443               1320723170     2
     444               1320723171     2
     445               1320723172     2
     446               1320723173     2
     447               1320723174     2
     448               1320723175     2
     449               1320723176     2
     450               1320723177     2
     451               1320723178     2
     452               1320723179     2
     453               1320723180     2
     454               1320723181     2
     455               1320723182     2
     456               1320723183     2
     457               1320723184     2
     458               1320723185     2
     459               1320723186     2
     460               1320723187     2
     461               1320723188     2
     462               1320723189     2
     463               1320723190     2
     464               1320723191     2
     465               1320723192     2
     466               1320723193     2
     467               1320723194     2
     468               1320723195     2
     469               1320723196     2
     470               1320723197     2
     471               1320723198     2
     472               1320723199     2
     473               1320723200     2
     474               1320723201     2
     475               1320723202     2
     476               1320723203     2
     477               1320723204     2
     478               1320723205     2
     479               1320723206     2
     480               1320723207     2
     481               1320723208     2
     482               1320723209     2
     483               1320723210     2
     484               1320723211     2
     485               1320723212     2
     486               1320723213     2
     487               1320723214     2
     488               1320723215     2
     489               1320723216     2
     490               1320723217     2
     491               1320723218     2
     492               1320723219     2
     493               1320723220     2
     494               1320723221     2
     495               1320723222     2
     496               1320723223     2
     497               1320723224     2
     498               1320723225     2
     499               1320723226     2
     500               1320723227     2
     501               1320723228     2
     502               1320723229     2
     503               1320723230     2
     504               1320723231     2
     505               1320723232     2
     506               1320723233     2
     507               1320723234     2
     508               1320723235     2
     509               1320723236     2
     510               1320723237     2
     511               1320723238     2
     512               1320723239     2
     513               1320723240     2
     514               1320723241     2
     515               1320723242     2
     516               1320723243     2
     517               1320723244     2
     518               1320723245     2
     519               1320723246     2
     520               1320723247     2
     521               1320723248     2
     522               1320723249     2
     523               1320723250     2
     524               1320723251     2
     525               1320723252     2
     526               1320723253     2
     527               1320723254     2
     528               1320723255     2
     529               1320723256     2
     530               1320723257     2
     531               1320723258     2
     532               1320723259     2
     533               1320723260     2
     534               1320723261     2
     535               1320723262     2
     536               1320723263     2
     537               1320723264     2
     538               1320723265     2
     539               1320723266     2
     540               1320723267     2
     541               1320723268     2
     542               1320723269     2
     543               1320723270     2
     544               1320723271     2
     545               1320723272     2
     546               1320723273     2
     547               1320723274     2
     548               1320723275     2
     549               1320723276     2
     550               1320723277     2
     551               1320723278     2
     552               1320723279     2
     553               1320723280     2
     554               1320723281     2
     555               1320723282     2
     556               1320723283     2
     557               1320723284     2
     558               1320723285     2
     559               1320723286     2
     560               1320723287     2
     561               1320723288     2
     562               1320723289     2
     563               1320723290     2
     564               1320723291     2
     565               1320723292     2
     566               1320723293     2
     567               1320723294     2
     568               1320723295     2
     569               1320723296     2
     570               1320723297     2
     571               1320723298     2
     572               1320723299     2
     573               1320723300     2
     574               1320723301     2
     575               1320723302     2
     576               1320723303     2
     577               1320723304     2
     578               1320723305     2
     579               1320723306     2
     580               1320723307     2
     581               1320723308     2
     582               1320723309     2
     583               1320723310     2
     584               1320723311     2
     585               1320723312     2
     586               1320723313     2
     587               1320723314     2
     588               1320723315     2
     589               1320723316     2
     590               1320723317     2
     591               1320723318     2
     592               1320723319     2
     593               1320723320     2
     594               1320723321     2
     595               1320723322     2
     596               1320723323     2
     597               1320723324     2
     598               1320723325     2
     599               1320723326     2
     600               1320723327     2
     601               1320723328     2
     602               1320723329     2
     603               1320723330     2
     604               1320723331     2
     605               1320723332     2
     606               1320723333     2
     607               1320723334     2
     608               1320723335     2
     609               1320723336     2
     610               1320723337     2
     611               1320723338     2
     612               1320723339     2
     613               1320723340     2
     614               1320723341     2
     615               1320723342     2
     616               1320723343     2
     617               1320723344     2
     618               1320723345     2
     619               1320723346     2
     620               1320723347     2
     621               1320723348     2
     622               1320723349     2
     623               1320723350     2
     624               1320723351     2
     625               1320723352     2
     626               1320723353     2
     627               1320723354     2
     628               1320723355     2
     629               1320723356     2
     630               1320723357     2
     631               1320723358     2
     632               1320723359     2
     633               1320723360     2
     634               1320723361     2
     635               1320723362     2
     636               1320723363     2
     637               1320723364     2
     638               1320723365     2
     639               1320723366     2
     640               1320723367     2
     641               1320723368     2
     642               1320723369     2
     643               1320723370     2
     644               1320723371     2
     645               1320723372     2
     646               1320723373     2
     647               1320723374     2
     648               1320723375     2
     649               1320723376     2
     650               1320723377     2
     651               1320723378     2
     652               1320723379     2
     653               1320723380     2
     654               1320723381     2
     655               1320723382     2
     656               1320723383     2
     657               1320723384     2
     658               1320723385     2
     659               1320723386     2
     660               1320723387     2
     661               1320723388     2
     662               1320723389     2
     663               1320723390     2
     664               1320723391     2
     665               1320723392     2
     666               1320723393     2
     667               1320723394     2
     668               1320723395     2
     669               1320723396     2
     670               1320723397     2
     671               1320723398     2
     672               1320723399     2
     673               1320723400     2
     674               1320723401     2
     675               1320723402     2
     676               1320723403     2
     677               1320723404     2
     678               1320723405     2
     679               1320723406     2
     680               1320723407     2
     681               1320723408     2
     682               1320723409     2
     683               1320723410     2
     684               1320723411     2
     685               1320723412     2
     686               1320723413     2
     687               1320723414     2
     688               1320723415     2
     689               1320723416     2
     690               1320723417     2
     691               1320723418     2
     692               1320723419     2
     693               1320723420     2
     694               1320723421     2
     695               1320723422     2
     696               1320723423     2
     697               1320723424     2
     698               1320723425     2
     699               1320723426     2
     700               1320723427     2
     701               1320723428     2
     702               1320723429     2
     703               1320723430     2
     704               1320723431     2
     705               1320723432     2
     706               1320723433     2
     707               1320723434     2
     708               1320723435     2
     709               1320723436     2
     710               1320723437     2
     711               1320723438     2
     712               1320723439     2
     713               1320723440     2
     714               1320723441     2
     715               1320723442     2
     716               1320723443     2
     717               1320723444     2
     718               1320723445     2
     719               1320723446     2
     720               1320723447     2
     721               1320723448     2
     722               1320723449     2
     723               1320723450     2
     724               1320723451     2
     725               1320723452     2
     726               1320723453     2
     727               1320723454     2
     728               1320723455     2
     729               1320723456     2
     730               1320723457     2
     731               1320723458     2
     732               1320723459     2
     733               1320723460     2
     734               1320723461     2
     735               1320723462     2
     736               1320723463     2
     737               1320723464     2
     738               1320723465     2
     739               1320723466     2
     740               1320723467     2
     741               1320723468     2
     742               1320723469     2
     743               1320723470     2
     744               1320723471     2
     745               1320723472     2
     746               1320723473     2
     747               1320723474     2
     748               1320723475     2
     749               1320723476     2
     750               1320723477     2
     751               1320723478     2
     752               1320723479     2
     753               1320723480     2
     754               1320723481     2
     755               1320723482     2
     756               1320723483     2
     757               1320723484     2
     758               1320723485     2
     759               1320723486     2
     760               1320723487     2
     761               1320723488     2
     762               1320723489     2
     763               1320723490     2
     764               1320723491     2
     765               1320723492     2
     766               1320723493     2
     767               1320723494     2
     768               1320723495     2
     769               1320723496     2
     770               1320723497     2
     771               1320723498     2
     772               1320723499     2
     773               1320723500     2
     774               1320723501     2
     775               1320723502     2
     776               1320723503     2
     777               1320723504     2
     778               1320723505     2
     779               1320723506     2
     780               1320723507     2
     781               1320723508     2
     782               1320723509     2
     783               1320723510     2
     784               1320723511     2
     785               1320723512     2
     786               1320723513     2
     787               1320723514     2
