 RANCH version 2.1 - r(10584)
 Started: ............................................... : Wed Oct 17 11:39:55 2018
 iSeed .................................................. : 1906904818
 Chain type ............................................. : Random
 Sequence file name: .................................... : ctfcp1_w_a927c.fasta
 Symmetry: .............................................. : p1
 Symmetry type: ......................................... : aSymmetric
 Number of residues per chain: .......................... : 86
 Number of atoms: ....................................... : 86
 Number of domains: ..................................... : 0
 Contact file name: ..................................... : None
 Number of structures: .................................. : 10000
 Suffix of the pdb files: ............................... : eom
 Output Folder Path: .................................... : ./
 Number of experimental curves: ......................... : 0
 Structure number         Seed       Type(0=aSymm,1=Symm,2=noSymm)
     289               1906905106     2
     290               1906905107     2
     291               1906905108     2
     292               1906905109     2
     293               1906905110     2
     294               1906905111     2
     295               1906905112     2
     296               1906905113     2
     297               1906905114     2
     298               1906905115     2
     299               1906905116     2
     300               1906905117     2
     301               1906905118     2
     302               1906905119     2
     303               1906905120     2
     304               1906905121     2
     305               1906905122     2
     306               1906905123     2
     307               1906905124     2
     308               1906905125     2
     309               1906905126     2
     310               1906905127     2
     311               1906905128     2
     312               1906905129     2
     313               1906905130     2
     314               1906905131     2
     315               1906905132     2
     316               1906905133     2
     317               1906905134     2
     318               1906905135     2
     319               1906905136     2
     320               1906905137     2
     321               1906905138     2
     322               1906905139     2
     323               1906905140     2
     324               1906905141     2
     325               1906905142     2
     326               1906905143     2
     327               1906905144     2
     328               1906905145     2
     329               1906905146     2
     330               1906905147     2
     331               1906905148     2
     332               1906905149     2
     333               1906905150     2
     334               1906905151     2
     335               1906905152     2
     336               1906905153     2
     337               1906905154     2
     338               1906905155     2
     339               1906905156     2
     340               1906905157     2
     341               1906905158     2
     342               1906905159     2
     343               1906905160     2
     344               1906905161     2
     345               1906905162     2
     346               1906905163     2
     347               1906905164     2
     348               1906905165     2
     349               1906905166     2
     350               1906905167     2
     351               1906905168     2
     352               1906905169     2
     353               1906905170     2
     354               1906905171     2
     355               1906905172     2
     356               1906905173     2
     357               1906905174     2
     358               1906905175     2
     359               1906905176     2
     360               1906905177     2
     361               1906905178     2
     362               1906905179     2
     363               1906905180     2
     364               1906905181     2
     365               1906905182     2
     366               1906905183     2
     367               1906905184     2
     368               1906905185     2
     369               1906905186     2
     370               1906905187     2
     371               1906905188     2
     372               1906905189     2
     373               1906905190     2
     374               1906905191     2
     375               1906905192     2
     376               1906905193     2
     377               1906905194     2
     378               1906905195     2
     379               1906905196     2
     380               1906905197     2
     381               1906905198     2
     382               1906905199     2
     383               1906905200     2
     384               1906905201     2
     385               1906905202     2
     386               1906905203     2
     387               1906905204     2
     388               1906905205     2
     389               1906905206     2
     390               1906905207     2
     391               1906905208     2
     392               1906905209     2
     393               1906905210     2
     394               1906905211     2
     395               1906905212     2
     396               1906905213     2
     397               1906905214     2
     398               1906905215     2
     399               1906905216     2
     400               1906905217     2
     401               1906905218     2
     402               1906905219     2
     403               1906905220     2
     404               1906905221     2
     405               1906905222     2
     406               1906905223     2
     407               1906905224     2
     408               1906905225     2
     409               1906905226     2
     410               1906905227     2
     411               1906905228     2
     412               1906905229     2
     413               1906905230     2
     414               1906905231     2
     415               1906905232     2
     416               1906905233     2
     417               1906905234     2
     418               1906905235     2
     419               1906905236     2
     420               1906905237     2
     421               1906905238     2
     422               1906905239     2
     423               1906905240     2
     424               1906905241     2
     425               1906905242     2
     426               1906905243     2
     427               1906905244     2
     428               1906905245     2
     429               1906905246     2
     430               1906905247     2
     431               1906905248     2
     432               1906905249     2
     433               1906905250     2
     434               1906905251     2
     435               1906905252     2
     436               1906905253     2
     437               1906905254     2
     438               1906905255     2
     439               1906905256     2
     440               1906905257     2
     441               1906905258     2
     442               1906905259     2
     443               1906905260     2
     444               1906905261     2
     445               1906905262     2
     446               1906905263     2
     447               1906905264     2
     448               1906905265     2
     449               1906905266     2
     450               1906905267     2
     451               1906905268     2
     452               1906905269     2
     453               1906905270     2
     454               1906905271     2
     455               1906905272     2
     456               1906905273     2
     457               1906905274     2
     458               1906905275     2
     459               1906905276     2
     460               1906905277     2
     461               1906905278     2
     462               1906905279     2
     463               1906905280     2
     464               1906905281     2
     465               1906905282     2
     466               1906905283     2
     467               1906905284     2
     468               1906905285     2
     469               1906905286     2
     470               1906905287     2
     471               1906905288     2
     472               1906905289     2
     473               1906905290     2
     474               1906905291     2
     475               1906905292     2
     476               1906905293     2
     477               1906905294     2
     478               1906905295     2
     479               1906905296     2
     480               1906905297     2
     481               1906905298     2
     482               1906905299     2
     483               1906905300     2
     484               1906905301     2
     485               1906905302     2
     486               1906905303     2
     487               1906905304     2
     488               1906905305     2
     489               1906905306     2
     490               1906905307     2
     491               1906905308     2
     492               1906905309     2
     493               1906905310     2
     494               1906905311     2
     495               1906905312     2
     496               1906905313     2
     497               1906905314     2
     498               1906905315     2
     499               1906905316     2
     500               1906905317     2
     501               1906905318     2
     502               1906905319     2
     503               1906905320     2
     504               1906905321     2
     505               1906905322     2
     506               1906905323     2
     507               1906905324     2
     508               1906905325     2
     509               1906905326     2
     510               1906905327     2
     511               1906905328     2
     512               1906905329     2
     513               1906905330     2
     514               1906905331     2
     515               1906905332     2
     516               1906905333     2
     517               1906905334     2
     518               1906905335     2
     519               1906905336     2
     520               1906905337     2
     521               1906905338     2
     522               1906905339     2
     523               1906905340     2
     524               1906905341     2
     525               1906905342     2
     526               1906905343     2
     527               1906905344     2
     528               1906905345     2
     529               1906905346     2
     530               1906905347     2
     531               1906905348     2
     532               1906905349     2
     533               1906905350     2
     534               1906905351     2
     535               1906905352     2
     536               1906905353     2
     537               1906905354     2
     538               1906905355     2
     539               1906905356     2
     540               1906905357     2
     541               1906905358     2
     542               1906905359     2
     543               1906905360     2
     544               1906905361     2
     545               1906905362     2
     546               1906905363     2
     547               1906905364     2
     548               1906905365     2
     549               1906905366     2
     550               1906905367     2
     551               1906905368     2
     552               1906905369     2
     553               1906905370     2
     554               1906905371     2
     555               1906905372     2
     556               1906905373     2
     557               1906905374     2
     558               1906905375     2
     559               1906905376     2
     560               1906905377     2
     561               1906905378     2
     562               1906905379     2
     563               1906905380     2
     564               1906905381     2
     565               1906905382     2
     566               1906905383     2
     567               1906905384     2
     568               1906905385     2
     569               1906905386     2
     570               1906905387     2
     571               1906905388     2
     572               1906905389     2
     573               1906905390     2
     574               1906905391     2
     575               1906905392     2
     576               1906905393     2
     577               1906905394     2
     578               1906905395     2
     579               1906905396     2
     580               1906905397     2
     581               1906905398     2
     582               1906905399     2
     583               1906905400     2
     584               1906905401     2
     585               1906905402     2
     586               1906905403     2
     587               1906905404     2
     588               1906905405     2
     589               1906905406     2
     590               1906905407     2
     591               1906905408     2
     592               1906905409     2
     593               1906905410     2
     594               1906905411     2
     595               1906905412     2
     596               1906905413     2
     597               1906905414     2
     598               1906905415     2
     599               1906905416     2
     600               1906905417     2
     601               1906905418     2
     602               1906905419     2
     603               1906905420     2
     604               1906905421     2
     605               1906905422     2
     606               1906905423     2
     607               1906905424     2
     608               1906905425     2
     609               1906905426     2
     610               1906905427     2
     611               1906905428     2
     612               1906905429     2
     613               1906905430     2
     614               1906905431     2
     615               1906905432     2
     616               1906905433     2
     617               1906905434     2
     618               1906905435     2
     619               1906905436     2
     620               1906905437     2
     621               1906905438     2
     622               1906905439     2
     623               1906905440     2
     624               1906905441     2
     625               1906905442     2
     626               1906905443     2
     627               1906905444     2
     628               1906905445     2
     629               1906905446     2
     630               1906905447     2
     631               1906905448     2
     632               1906905449     2
     633               1906905450     2
     634               1906905451     2
     635               1906905452     2
     636               1906905453     2
     637               1906905454     2
     638               1906905455     2
     639               1906905456     2
     640               1906905457     2
     641               1906905458     2
     642               1906905459     2
     643               1906905460     2
     644               1906905461     2
     645               1906905462     2
     646               1906905463     2
     647               1906905464     2
     648               1906905465     2
     649               1906905466     2
     650               1906905467     2
     651               1906905468     2
     652               1906905469     2
     653               1906905470     2
     654               1906905471     2
     655               1906905472     2
     656               1906905473     2
     657               1906905474     2
     658               1906905475     2
     659               1906905476     2
     660               1906905477     2
     661               1906905478     2
     662               1906905479     2
     663               1906905480     2
     664               1906905481     2
     665               1906905482     2
     666               1906905483     2
     667               1906905484     2
     668               1906905485     2
     669               1906905486     2
     670               1906905487     2
     671               1906905488     2
     672               1906905489     2
     673               1906905490     2
     674               1906905491     2
     675               1906905492     2
     676               1906905493     2
     677               1906905494     2
     678               1906905495     2
     679               1906905496     2
     680               1906905497     2
     681               1906905498     2
     682               1906905499     2
     683               1906905500     2
     684               1906905501     2
     685               1906905502     2
     686               1906905503     2
     687               1906905504     2
     688               1906905505     2
     689               1906905506     2
     690               1906905507     2
     691               1906905508     2
     692               1906905509     2
     693               1906905510     2
     694               1906905511     2
     695               1906905512     2
     696               1906905513     2
     697               1906905514     2
     698               1906905515     2
     699               1906905516     2
     700               1906905517     2
     701               1906905518     2
     702               1906905519     2
     703               1906905520     2
     704               1906905521     2
     705               1906905522     2
     706               1906905523     2
     707               1906905524     2
